Date,City,Venue,Bands,Notes
2003-07-18,"Cedar Falls, IA",The Reverb,Dead To Fall,

2003-07-19,"Chicago, IL",Skatepark,,Sobe Energy Drink Event

2003-07-19,"Chicago, IL",The Bottom Lounge,Freya,

2003-07-22,"Sterling, VA",The Sterling Ruritan,"Freya, A Life Once Lost",

2003-07-23,"Virginia Beach, VA",Hoopla's Bar & Grill,"Freya, A Life Once Lost",

2003-07-25,"Ronkonkoma, NY",The Hungarian Hall,Freya,

2003-07-26,"Montclair, NJ",Bloomfield Avenue Cafe,"Freya, Dead Poetic",

2003-07-27,"New York, NY",Knitting Factory,"Freya, Dead Poetic",

2003-07-28,"Norwalk, CT",The Cage,Dead Poetic,

2003-07-29,"Wilkes Barre, PA",Rodanos,,

2003-07-31,"Brockton, MA",Brockton Fairgrounds,"Rancid, Glassjaw, Poison The Well, Suicide Machines, Thrice, The Used, Less Than Jake, Brand New, The All American Rejects, Rise Against + more",Vans Warped Tour

2003-08-04,"Hamilton, ON",The Underground,"Minus The Bear, Rockets Red Glare, We Ragazzi",

2003-08-13,"Philadelphia, PA",ESPN Skatepark @ Franklin Mills,,

2003-08-15,"Birmingham, AL",Sloss Furnaces,"Taking Back Sunday, Finch, Further Seems Forever, Armor For Sleep, Every Time I Die, Hatebreed, Hopesfall, Boys Night Out, Andrew WK + more",Furnace Fest

2003-08-17,"Orlando, FL",The Tunnel,"As I Lay Dying, Haste",Redemption Fest

2003-08-19,"Pensacola, FL",Room Ten26,"Salt The Earth, A Small Victory",

2003-08-20,"Tallahassee, FL",The Beta Bar,"Evergreen Terrace, Dead Poetic",

2003-08-21,"Nashville, TN",Rocketown,Dead Poetic,

2003-08-22,"Akron, OH",The Lime Spider,Dead Poetic,

2003-08-28,"Toronto, ON",The Rockit,"Fordirelifesake, The Turn It Ups",

2003-08-29,"Orillia, ON",Odd Fellows Hall,The Turn It Ups,

2003-09-05,"Hamilton, ON",Home Bar,The Turn It Ups,

2003-09-06,"Guelph, ON",The Trasheteria,"Moneen, The Fullblast",

2003-09-12,"Oshawa, ON",The Dungeon,Sector Seven,

2003-10-01,"London, ON",Wave Bar @ Western University,The Fullblast,

2003-10-02,"Windsor, ON",Abandoned Furniture Store,"The Fullblast, Between the Buried and Me, Searching For Chin",

2003-10-03,"Lake Orion, MI",Knights of Columbus,"The Fullblast, Fordirelifesake, Alucard, Ettison Clio, Home Team, A is for A",

2003-10-04,"Sarnia, ON",Portuguese Hall,The Fullblast,

2003-10-07,"New York, NY",Club Rare,"As I Lay Dying, Haste, The Sleeping",

2003-10-08,"Stroudsburg, PA",Over The Edge,"As I Lay Dying, Haste",

2003-10-09,"Johnstown, PA",Oakland Fire Hall,"As I Lay Dying, Haste",

2003-10-11,"Burlington, ON",Music Centre,"Between the Buried and Me, The Fullblast, Black Maria, Buried Inside",

2003-10-16,"Guelph, ON",The Trasheteria,"Rise Against, Matchbook Romance, Most Precious Blood",

2003-10-17,"Toronto, ON",Zen Lounge,"Rise Against, Matchbook Romance, Most Precious Blood",

2003-10-18,"Montreal, QC",Rainbow,"Rise Against, Matchbook Romance, Most Precious Blood",

2003-10-19,"Ottawa, ON",Babylon,"Rise Against, Matchbook Romance, Most Precious Blood",

2003-10-20,"Buffalo, NY",Xtreme Wheels,"Rise Against, Matchbook Romance, Most Precious Blood",

2003-10-21,"Poughkeepsie, NY",The Chance,"Rise Against, Matchbook Romance, Most Precious Blood",

2003-10-22,"Storrs, CT",Hillel House @ UCONN,Farewell To Arms,

2003-10-23,"Portsmouth, RI",Portsmouth VFW,,

2003-10-25,"Simcoe, ON",Knights of Columbus,Hoosier Poet,

2003-11-07,"Charleroi, PA",Charleroi VFW,Bayside,

2003-11-08,"Indianapolis, IN",Emerson Theatre,"Bayside, Roses Are Red",

2003-11-09,"Omaha, NE",Ranch Bowl,Bayside,

2003-11-11,"Spokane, WA",Detour,Bayside,

2003-11-12,"Tacoma, WA",Hell's Kitchen,Bayside,

2003-11-13,"Portland, OR",Solid State,Bayside,

2003-11-14,"San Rafael, CA",Oasis Events Center,"Bayside, Eleventeen",

2003-11-15,"Nipomo, CA",Nipomo Rec Center,"Bayside, Eleventeen",

2003-11-16,"Corona, CA",Showcase Theatre,"Bayside, Eleventeen",

2003-11-17,"Los Angeles, CA",Knitting Factory,"Bayside, Eleventeen",

2003-11-18,"San Diego, CA",The Scene,"Bayside, Eleventeen",

2003-11-19,"Tempe, AZ",Little Nita's Hideaway,Bayside,

2003-11-21,"Flagstaff, AZ",The Mad Italian,Bayside,

2003-11-22,"Albuquerque, NM",The Attic,Bayside,

2003-11-23,"Oklahoma City, OK",The Green Door,Bayside,

2003-11-24,"Lubbock, TX",Tokyo Joe's,Bayside,

2003-11-25,"Tulsa, OK",Curly's,Bayside,

2003-11-26,"Little Rock, AR",Vino's,Bayside,

2003-11-28,"St. Louis, MO",Creepy Crawl,"Bayside, Much The Same",

2003-11-29,"Burlington, IA",The Barn,"Bayside, Preacher Gone To Texas",

2003-11-30,"Chicago, IL",Fireside Bowl,"Bayside, Preacher Gone To Texas",

2003-12-05,"St. Catharines, ON",Red Square,The Turn It Ups,

2003-12-06,"Brampton, ON",Bramalea United Church,The Turn It Ups,

2003-12-12,"London, ON",The Embassy,The Turn It Ups,

2003-12-13,"Toronto, ON",The 360,The Getaway,

2003-12-19,"Burlington, ON",The Polish Hall,"Boys Night Out, The Fullblast, The Pettit Project, 11 Minutes Away",

2004-01-02,"South Amboy, NJ",Club Krome,"Spitalfield, Diffuser",

2004-01-03,"Farmingdale, NY",The Downtown,"Spitalfield, Diffuser",

2004-01-04,"New York, NY",The Continental,"Spitalfield, Diffuser",

2004-01-06,"Philadelphia, PA",North Star Bar,"Spitalfield, Diffuser",

2004-01-07,"Baltimore, MD",Ottobar,"Spitalfield, Diffuser",

2004-01-08,"Chantilly, Va",Chantilly Event Center,"Spitalfield, Diffuser",

2004-01-09,"Greenboro, NC",Ace's Basement,"Spitalfield, Diffuser",

2004-01-10,"West Columbia, SC",New Brooklyn Tavern,"Spitalfield, Diffuser",

2004-01-11,"Jacksonville, FL",Jack Rabbit's,"Spitalfield, Diffuser",

2004-01-13,"Ft. Lauderdale, FL",Culture Room,"Spitalfield, Diffuser",

2004-01-14,"Tampa, FL",The Orpheum,"Spitalfield, Diffuser",

2004-01-15,"Orlando, FL",Will's Pub,"Spitalfield, Diffuser",

2004-01-16,"Augusta, GA",Hangnail Gallery,"Spitalfield, Diffuser",

2004-01-17,"Nashville, TN",The End,"Spitalfield, Diffuser",

2004-01-18,"Wheaton, IL",Wheaton Grand Theatre,"Spitalfield, Diffuser",

2004-01-19,"Toledo, OH",Longhorn Saloon,"Spitalfield, Diffuser",

2004-01-20,"Grand Rapids, MI",The Intersection,"Spitalfield, Diffuser",

2004-01-21,"Detroit, MI",The Shelter,"Spitalfield, Diffuser",

2004-01-22,"London, ON",Call The Office,"Spitalfield, Diffuser",

2004-01-23,"Burlington, ON",Music Centre,"Spitalfield, Diffuser, The Turn It Ups, Rosesdead",

2004-01-24,"Toronto, ON",The Rockit,"Spitalfield, Diffuser",

2004-01-25,"Montreal, QC",Salle L'X,"Spitalfield, Diffuser",

2004-01-26,"Buffalo, NY",Xtreme Wheels,"Spitalfield, Diffuser",

2004-02-05,"Rochester, NY",Steel Music Hall,"From Autumn To Ashes, Armor For Sleep, Walls of Jericho, The AKA's",

2004-02-06,"Reading, PA",Soundwaves,"From Autumn To Ashes, Armor For Sleep, Walls of Jericho, The AKA's",

2004-02-07,"Norfolk, VA",The Norva,"From Autumn To Ashes, Armor For Sleep, Walls of Jericho, The AKA's",

2004-02-08,"Raleigh, NC",Lincoln Theatre,"From Autumn To Ashes, Armor For Sleep, Walls of Jericho, The AKA's",

2004-02-09,"West Columbia, SC",New Brooklyn Tavern,"From Autumn To Ashes, Armor For Sleep, Walls of Jericho, The AKA's",

2004-02-10,"Tallahassee, FL",Big Daddy's,"From Autumn To Ashes, Armor For Sleep, Walls of Jericho, The AKA's",

2004-02-11,"Atlanta, GA",The Masquerade,"Armor For Sleep, The AKA's, Emanuel",

2004-02-12,"Orlando, FL",The Social,"Armor For Sleep, The AKA's, Emanuel",

2004-02-13,"Ft. Lauderdale, FL",The Factory,"Armor For Sleep, The AKA's, Emanuel",

2004-02-14,"Jacksonville, FL",The Imperial,"Armor For Sleep, The AKA's, Emanuel",

2004-02-15,"Baton Rouge, LA",The Waiting Room,"Armor For Sleep, The AKA's, Emanuel",

2004-02-16,"Austin, TX",Emo's,"From Autumn To Ashes, Armor For Sleep, Walls of Jericho, The AKA's",

2004-02-17,"Dallas, TX",Gypsy Tea Room,"From Autumn To Ashes, Armor For Sleep, Walls of Jericho, The AKA's",

2004-02-18,"Houston, TX",Engine Room,"From Autumn To Ashes, Armor For Sleep, Walls of Jericho, The AKA's",

2004-02-20,"Chicago, IL",Metro,"From Autumn To Ashes, Armor For Sleep, Walls of Jericho, The AKA's",

2004-02-28,"Hamilton, ON",AFB,"Rosesdead, Endo 4",

2004-03-01,"Oklahoma City, OK",The Green Door,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-02,"Albuquerque, NM",Launchpad,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-03,"Phoenix, AZ",Modified Arts,"Strike Anywhere, Fifth Hour Hero, F Minus, Where Eagles Dare",

2004-03-04,"San Diego, CA",Epicenter,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-05,"Anaheim, CA",Chain Reaction,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-06,"Lancaster, CA",El Dorado,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-07,"Los Angeles, CA",Troubadour,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-09,"Santa Cruz, CA",Santa Cruz Teen Center,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-10,"San Francisco, CA",Bottom of the Hill,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-11,"Sacramento, CA",Colonial Theatre,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-12,"Portland, OR",Nocturnal,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-13,"Seattle, WA",Graceland,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-15,"Salt Lake City, UT",Bricks,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-16,"Denver, CO",Bluebird Theatre,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-17,"Omaha, NE",Sokol Underground,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-19,"Cincinnati, OH",Bogart’s,"Strike Anywhere, Fifth Hour Hero, F Minus",

2004-03-21,"Montreal, QC",Rainbow,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-03-22,"Ottawa, ON",Babylon,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-03-23,"Toronto, ON",The Opera House,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-03-24,"London, ON",The Embassy,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-03-26,"Iowa City, IA",Gabe's Oasis,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-03-27,"Milwaukee, WI",Eagle's Club,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-03-28,"Indianapolis, IN",Emerson Theatre,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-03-29,"Morgantown, WV",123 Pleasant St.,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-03-30,"Cincinnati, OH",Bogart’s,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-03-31,"Toledo, OH",Headliner's,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-04-01,"Liverpool, NY",Bleachers,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-04-02,"Poughkeepsie, NY",The Chance,"From Autumn To Ashes, Hopesfall, Most Precious Blood",

2004-04-10,"Wilmington, DE",The Harmony Grange,"Armor For Sleep, Fear Before The March of Flames, Halifax",

2004-04-11,"Philadelphia, PA",First Unitarian Church,"Armor For Sleep, Fear Before The March of Flames, Halifax",

2004-04-12,"Cambridge, MA",The Middle East,"Armor For Sleep, Fear Before The March of Flames, Halifax",

2004-04-13,"West Hartford, CT",Hawk's Nest,"Armor For Sleep, Fear Before The March of Flames, Halifax",

2004-04-14,"New York, NY",Knitting Factory,"Motion City Soundtrack, Armor For Sleep, Fear Before The March of Flames, Halifax, These Enzymes ",

2004-04-15,"Storrs, CT",Hillel House @ UCONN,"Armor For Sleep, Fear Before The March of Flames, Halifax",

2004-04-16,"Asbury Park, NJ",Asbury Park Convention Hall,"Brand New, The Starting Line, Coheed And Cambria, Andrew WK, Hot Rod Circuit, Piebald, Funeral For A Friend, Motion City Soundtrack, Fear Before The March Of Flames, Crime In Stereo, Bayside + more",Skate & Surf Festival

